horizon,rho,n,ic_combined_OLD,ic_consensus_OLD,loss_OLD,boot_lo_OLD,boot_hi_OLD,boot_mean_OLD,boot_sd_OLD,ic_combined_NEW,ic_consensus_NEW,loss_NEW,boot_lo_NEW,boot_hi_NEW,boot_mean_NEW,boot_sd_NEW
6m,0.07,92,0.03104048826348967,0.01038792904150548,-0.02065255922198419,-0.07413536673704978,0.03875244671177349,-0.016540912103324448,0.02843918223333424,0.03104048826348967,0.01038792904150548,-0.02065255922198419,-0.07415774137861789,0.03876694250744947,-0.016545525743074697,0.028447805362889312
6m,0.1,92,0.08885224172741706,0.06695128153753681,-0.021900960189880248,-0.06976557804047284,0.0307831018910963,-0.019024382349768047,0.02548095646081293,0.08885224172741706,0.06695128153753681,-0.021900960189880248,-0.06978129433409852,0.03080064100124403,-0.019029722520023013,0.02548861632215536
6m,0.15,92,0.18026293482113961,0.1695667586270672,-0.010696176194072426,-0.06263119769431132,0.04497711264892191,-0.00868068677465592,0.0282204805034806,0.18026293482113961,0.1695667586270672,-0.010696176194072426,-0.0626504123036132,0.044998593776384245,-0.008683085446962254,0.028228991700489252
6m,0.2,92,0.2582648767782008,0.26204090439714567,0.003776027618944855,-0.04569995222169138,0.05732742012545654,0.005448206772189943,0.025559257222582617,0.2582648767782008,0.26204090439714567,0.003776027618944855,-0.04571609608634691,0.05734006211357614,0.00544983091007173,0.02556700761616933
1y,0.0,45,-0.19288537549407112,-0.15296442687747033,0.03992094861660078,-0.039667325428194976,0.11661396574440051,0.039325428194993406,0.042305697141394864,-0.19308936404954383,-0.15296442687747033,0.040124937172073494,-0.03968830918232219,0.11702140617114755,0.039273984082185395,0.042350964526534036
1y,0.03,45,-0.08418972332015809,-0.05494071146245059,0.0292490118577075,-0.0720816864295125,0.11885046113306981,0.028841897233201574,0.049958208112988886,-0.08439013147303502,-0.05494071146245059,0.029449420010584433,-0.07261309479654712,0.11911506179628896,0.028778234439174263,0.05000643706709852
1y,0.05,45,-0.020685111989459812,0.02595520421607378,0.04664031620553359,-0.04073781291172595,0.12003293807641631,0.04662938076416336,0.04177539165126022,-0.020883428319244418,0.02595520421607378,0.0468386325353182,-0.04075977565176589,0.1196471482862332,0.0465749370575387,0.04181074301142412
1y,0.07,45,0.02160737812911726,0.0898550724637681,0.06824769433465085,-0.011729249011857705,0.13306982872200263,0.06625902503293807,0.03714413667851212,0.02141045490143355,0.0898550724637681,0.06844461756233455,-0.011737039557701239,0.13282635848346333,0.06621588793113588,0.03717812304125052
1y,0.1,45,0.11673254281949932,0.1504611330698287,0.03372859025032937,-0.06166337285902501,0.11095191040843211,0.03182700922266139,0.045040019976637195,0.11653875298657217,0.1504611330698287,0.03392238008325653,-0.06209668248583356,0.11101754720676771,0.03175560938659935,0.045093432390332755
1y,0.15,45,0.2284584980237154,0.28234519104084316,0.05388669301712776,-0.02481884057971012,0.1242523056653491,0.04922200263504611,0.04006209417784338,0.2282683884106685,0.28234519104084316,0.05407680263017467,-0.02505662309688069,0.1242499529296959,0.049156926301526696,0.04011870749492874
1y,0.2,45,0.3172595520421607,0.4027667984189723,0.08550724637681156,0.0013175230566534468,0.16575757575757574,0.08239986824769431,0.044636875797340214,0.31690605097895674,0.4027667984189723,0.08586074744001554,0.003979744551145453,0.16607486256408333,0.08361910748375055,0.04382565373238549
